Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
A many-analysts approach to the relation between religiosity and well-being,2023,10.1080/2153599X.2022.2070255,Helena Hartmann,Social Sciences and Humanities,Religion;Wellbeing,"One Phenomenon, Many Studies",assess the robustness of the relation between relgiosity and wellbeing using a multi-analyst approach,True,"we believe that the more consistent the results from diﬀerent analysis teams are, the more conﬁdent we can be in the conclusions we draw from the results.",Same data - different analysis,Agreement in effect size,False,NA,False,NA,False,NA,False,NA
A many-analysts approach to the relation between religiosity and well-being,2023,10.1080/2153599X.2022.2070255,Joris Frese,Social Sciences and Humanities;Life Sciences,Psychology,"One Phenomenon, Many Studies","Analyzing ""The relation between religiosity and well-being"" (Abstract)",True,"""In the current project, we aim to shed light on the association between religion and well-being and the extent to which diﬀerent theoretically- or methodologically-motivated analytic choices aﬀect the results. To this end, we initiated a many-analysts project, in which several independent analysis teams analyze the same dataset in order to answer a speciﬁc research question"" (p.241)",Same data - different analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""Note that our request for beta coeﬃcients as eﬀect size metrics may have aﬀected the teams’ choice of statistical model and encouraged them to use regression models that generate beta coeﬃcients."" (p.247/248)",True,"""Although most teams indicated that eﬀort was (very) high, the majority also reported that frustration was (very) low and that they spent as much time as anticipated (see Figure 10). That is, in stage 1, 55% of the teams reported (very) high eﬀort, 17% were neutral, and 28% reported (very) low eﬀort. For stage 2, 48% of the teams reported (very) high eﬀort, 18% were neutral, and 34% reported (very) low eﬀort. In stage 1, 17% of the teams reported (very) high frustration, 23% were neutral, and 60% reported (very) low frustration. In stage 2, 18% of the teams reported (very) high frustration, 17% were neutral, and 65% reported (very) low frustration. The median time spent on the analyzes was 8 hours for both stages, although the range was quite wide: 1 to 80 hours for stage 1 and 30 minutes to 140 hours for stage 2. Most teams anticipated as much time as they spent: 51% for stage 1 and 52% for stage 2. In stage 1, 36% spent (much) more time than anticipated and 13% spent (much) less time. In stage 2, 33% spent (much) more time than anticipated and 15% spent (much) less time."" (p.255) [Comment: Maybe not EDI, but they had a section on the difficulties, frustrations, and time usage of the research teams regarding their replication tasks.]"
Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability,2020,10.1177/2515245920958687,Louise Townsin,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies","This design is particularly well suited for testing the strong hypothesis that many, if not most, failures to replicate are due to design errors that could have been caught by a domain expert (Gilbert et al., 2016). If this hypothesis is correct, then the new, peer-reviewed protocols would be expected to improve replicability and increase effect sizes to be closer to those of the original studies. This would not necessarily mean that all failures to replicate are due to poor design. After all, our sample of studies was chosen because they are among the most likely published replications to have faulty designs. However, such an outcome would suggest that published replicability rates are overly pessimistic.",True,"A replication study is an attempt to reproduce a previously observed finding with no a priori expectation for a different outcome (see Nosek & Errington, 2017, 2020; Zwaan, Etz, Lucas, & Donnellan, 2018).","Different data - different analysis [Comment: We administered the RP:P and revised protocols in multiple laboratories (median number of laboratories per original study = 6.5, range = 3–9; median total sample = 1,279.5, range = 276–3,512) for high-powered tests of each original finding with both protocols.]","Agreement in effect size [Comment: Overall, following the preregistered analysis plan, we found that the revised protocols produced effect sizes similar to those of the RP:P protocols (Δr = .002 or .014, depending on analytic approach). The median effect size for the revised protocols (r = .05) was similar to that of the RP:P protocols (r = .04) and the original RP:P replications (r = .11), and smaller than that of the original studies (r = .37). Analysis of the cumulative evidence across the original studies and the corresponding three replication attempts provided very precise estimates of the 10 tested effects and indicated that their effect sizes (median r = .07, range = .00–.15) were 78% smaller, on average, than the original effect sizes (median r = .37, range = .19–.50).]",True,"In exploratory analyses, we considered several other measures of replicability that directly assessed (a) statistical consistency between the replications and the original studies and (b) the strength of evidence provided by the replications for the scientific effects under investigation (Mathur & VanderWeele, 2020). These analyses also accounted for potential heterogeneity in the replications and for the sample sizes in both the replications and the original studies. Accounting for these sources of variability avoids potentially misleading conclusions regarding replication success that can arise from metrics that do not account for these sources of variability, such as agreement in statistical significance.","True [Comment: Mathur & VanderWeele, 2020]","doi:10.1111/rssa.12572 [Comment: an original study can be considered statistically consistent with a set of replications if the original study and the replications came from the same distribution of potentially heterogeneous effects—that is, if the original study was not an anomaly (Mathur & VanderWeele, 2020). We assessed statistical consistency using the met- ric Porig. Analogous to a p value for the null hypothesis of consistency, this metric characterizes the probability that the original study would have obtained a point estimate at least as extreme as was observed if in fact the original study was consistent with the replications.]",True,"the studies were not selected to be representative of any particular population. The extent to which our findings will generalize is unknown. It is possible that our findings are unique to this sample of studies, or to psychology studies that are conducted in good faith but fail to be endorsed by original authors, as in the RP:P (Open Science Collaboration, 2015). A more expansive possibility is that the findings will be generalizable to occasions in which original authors or other experts dismiss a failed replication for having design flaws that are then addressed and tested again.",False,NA
Many Labs 5: Testing Pre-Data-Collection Peer Review as an Intervention to Increase Replicability,2020,10.1177/2515245920958687,Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, Many studies",The purpose of this investigation was to test whether protocols resulting from formal peer review would produce stronger evidence for replicability than protocols that had not received formal peer review,"False [Comment: No formal definition, but refer to replicability]",NA,"Different data - same analysis [Comment: Same analysis, but for small deviations]","(1) Meta-analysis of original and replication study/studies [Comment: We conducted a multilevel random- effects meta-analysis of the 101 effect sizes, with a random intercept of data-collection site (varying from 3 to 9 depending on study) nested within study (10 studies).](2) Meta-analysis of original and replication study/studies [Comment: we conducted a random-effects meta-analysis on the estimates of the effect of protocol within each replication study.]",True,The strength of evidence provided by the replications for the scientific effects under investigation;The statistical consistency between the replications and the original studies,True,10.1111/rssa.12572 [Comment: statistical consistency],False,NA,False,NA
Variability in the analysis of a single neuroimaging dataset by many teams,2020,10.1038/s41586-020-2314-9,Helena Hartmann,Life Sciences,Neuroscience;Neuroimaging,"One Phenomenon, Many Studies",assess the effect of this flexibility on the results of functional magnetic resonance imaging,False,NA,Same data - different analysis,(1) Agreement in statistical significance(2) Subjective assessment [Comment: confirmation of hypothesis or not],True,Prediction market,False,NA,True,"For prediction markets: note that because some analyses were performed on the final market prices (that is, the predictions of the markets), for which there is one value per hypothesis per market, the number of observations for each of the markets was low (n = 9), leading to limited statistical power. Therefore, the results should be interpreted with caution.",False,NA
Variability in the analysis of a single neuroimaging dataset by many teams,2020,10.1038/s41586-020-2314-9,Rachel Heyard,Life Sciences,Neuroscience,"Many Phenomena, Many studies [Comment: 9 hypotheses were tested by 70 teams on the same data]",to assess the real-world variability of results across independent teams analysing the same dataset.,"False [Comment: No, but they were interested in analytical variability]",NA,Same data - same analysis;Same data - different analysis,Agreement in statistical significance [Comment: Rates of reported significant findings across hypotheses],True [Comment: Analysis of the pipeline used by the teams; Prediction markets],Analysis of the pipeline used by the teams;Prediction markets,True,10.1073/pnas.1516179112 [Comment: Prediction markets],False,NA,False,NA
The influence of hidden researcher decisions in applied microeconomics,2021,10.1111/ecin.12992,Joris Frese,Social Sciences and Humanities,Economics; Applied Microeconomics,"Many Phenomena, Many studies [Comment: 2 phenomena, 7 replications each]","""Researchers make hundreds of decisions about data collection, preparation, and analysis in their research. We use a many-analysts approach to measure the extent and impact of these decisions."" (Abstract)",True,"""replicators are told to use any statistics package, and that they should use assistants if they would normally use assistants in their work. They are also told that their analysis should be independent, and should not attempt to identify the original study, or to match (or mismatch) with fellow replicators. The goal is to uncover “how you would estimate this effect, if you'd had this question, this idea for identification, and had chosen this particular sample.” (p.948)","Same data - same analysis;Same data - different analysis [Comment: replicators were mostly free to choose their approach, using the same data]",(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""It is not surprising that different researchers would carry out an analysis in different ways. Replicators were asked after completing their replication about their reasoning for the analytic and data cleaning choices that were not covered by the instructions and differed among replicators. The most common reasons included familiarity with a given model, differing intuitive or technical ideas about which control variables are appropriate or whether linear probability models are appropriate, and differing preferences for parsimony. There is nothing inherently wrong about these choices or reasons, although the fact that researchers do not seem to agree on these issues implies additional sources of uncertainty in estimates. These differences only rise to a real cause for concern when they are about things that either would be unlikely to be reported in the resulting study, or would be reported but paid little attention by reviewers and readers. If invisible researcher choices are different and consequential, that means that empirical results in applied microeconomics reflect variation in sample and methods, as expected, but also reflect variation in researcher choice."" (p.958)",True,"""Among successful replicators, the mean and median year in which they received their PhD was 2011 and 2014, respectively. As of October 2020, the mean and median Google Scholar “cited by” count among successful replicators were 366 and 128, respectively, with a minimum of 38 and a maximum of 1291, omitting one replicator who did not have a Google Scholar profile."" (p.950) [Comment: Looked at seniority and professional success of replicators]"
The influence of hidden researcher decisions in applied microeconomics,2021,10.1111/ecin.12992,Rachel Heyard,Social Sciences and Humanities,Microeconomics,"One Phenomenon, Many Studies [Comment: While two phenomena were replicated.]",To measure the magnitude of variation due to researcher degrees of freedom in the context of applied microeconomics studies that attempt to isolate a causal effect,False,NA,Same data - same analysis;Same data - different analysis,(1) Agreement in statistical significance(2) Agreement in effect size,True,They additionally coded difference analysis step/decision in a binary manner;Comparison of sampling variation,False,NA,False,NA,False,NA
Investigating the replicability of preclinical cancer biology,2021,10.7554/eLife.71601,Joris Frese,"STEM, e.g. Engineering, Mathematics, Physics",Biology,"Many Phenomena, Many studies","""provide evidence about the replicability of preclinical research in cancer biology by repeating selected experiments from highimpact papers."" (abstract)",True,"""In the Reproducibility Project: Cancer Biology, we sought to acquire evidence about the replicability of preclinical research in cancer biology by repeating selected experiments from 53 high-impact papers published in 2010, 2011, and 2012"" (p.2)",Different data - same analysis,(1) Agreement in effect size(2) Meta-analysis of original and replication study/studies,False,NA,False,NA,True,"""There is no single method for assessing the success or failure of replication attempts (Mathur and VanderWeele, 2019; Open Science Collaboration, 2015; Valentine et al., 2011), so we used seven different methods to compare the effect reported in the original paper and the effect observed in the replication attempt (see Results). Six of these methods were dichotomous (i.e., replication success/failure) and one was not."" (p.3)",False,NA
Investigating the replicability of preclinical cancer biology,2021,10.7554/eLife.71601,Rachel Heyard,Life Sciences,Preclinical cancer biology,"Many Phenomena, One Study",To investigate the replicability of preclinical cancer biology,"False [Comment: No formal definition, but refer to replicability]",NA,Different data - same analysis,"(1) Agreement in effect size [Comment: Same direction: We evaluated whether the sign of the replication estimate agreed with that of the original effect](2) Agreement in statistical significance [Comment: Significance agreement: We assessed whether the replication had a p-value less than 0.05 and an estimate in the same direction as the original.](3) Agreement in effect size [Comment: We assessed whether the original and replication estimates were inside the 95% confidence intervals of the other.](4) Agreement in effect size [Comment: We assessed whether the replication estimate was inside the 95% prediction interval of the original, and formally assessed the degree of statistical inconsistency between the replication and the original using the metric porig, which can be viewed as a p-value for the hypothesis that the original and the replication had the same population effect size.](5) Agreement in effect size [Comment: We estimated the difference in estimates between the replication and the original after transforming all effect sizes to a comparable scale.](6) Meta-analysis of original and replication study/studies [Comment: we calculated a pooled estimate from combining the replication and original via fixed-effects meta-analysis]",False,NA,True,10.1111/rssa.12572 [Comment: porig],True,"(1) This rudimentary metric does not account for effect sizes nor statistical precision, but was useful because we could compute it for even the non-quantitative pairs such as when original experiments reported only representative images. [Comment: Same direction](2) We chose a fixed-effect model rather than a random-effects model primarily for consistency with our assumption throughout all main analyses that there was no within-pair heterogeneity. [Comment: Meta-analysis]",False,NA
How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project,2019,10.1177/0956797619831612,Joris Frese,Social Sciences and Humanities;Life Sciences,Psychology; Behavioral Science,"Many Phenomena, Many studies","""Do personality characteristics reliably predict consequential life outcomes?"" (p.711)",True,"""I conducted preregistered, high-powered (median N = 1,504) replications of 78 previously published trait–outcome associations."" (Abstract)",Different data - same analysis,(1) Agreement in statistical significance(2) Agreement in effect size,False,NA,False,NA,True,"""Strengths, limitations, and future directions The LOOPR Project had a number of important strengths, including its broad sample of life outcomes, representative samples, preregistered design, and high statistical power. However, it also had some noteworthy limitations that suggest promising directions for future research. Most notably, all of the present data come from cross-sectional, self-report surveys completed by online research panels, whereas some of the original studies used longitudinal designs or other data sources (e.g., interviews, informant reports, community samples). Indeed, our analyses of replicability predictors indicated that replication effect sizes tended to be somewhat stronger when the original study had also used a self-report survey to measure the target outcome. Thus, the present research is only a first step toward establishing the replicability of these traitoutcome associations, and future research using longitudinal designs, as well as alternative sampling and assessment methods, is clearly needed. A broader issue is that large-scale replication projects can be conducted using different approaches (McShane, Tackett, Bockenholt, & Gelman, 2017). Any particular approach will have advantages and disadvantages, and the choice of an optimal approach will depend on the goals of a particular project. The main goal of the LOOPR Project was to estimate the overall replicability of the personality-outcome literature. We therefore adopted an approach that attempted to replicate a large number of original effects from many studies, with one replication attempt per effect and relatively brief outcome measures (Camerer et al., 2016; Cova et al., 2018; Open Science Collaboration, 2015). An alternative approach would be to replicate a smaller number of effects with lengthier measures or multiple replication attempts per effect (i.e., a many-labs approach; Ebersole et al., 2016; Hagger et al., 2016; Klein et al., 2014). Such an approach would be less well suited for estimating the overall replicability of a literature but better suited for achieving other goals. For example, future research can complement the LOOPR Project by testing individual trait–outcome associations more robustly and by directly investigating factors—such as location, sampling method, mode of administration, measures, and analytic methodthat might moderate these associations."" (p.725)",False,NA
How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project,2019,10.1177/0956797619831612,Rachel Heyard,Social Sciences and Humanities,Psychology,"Many Phenomena, One Study",to estimate the replicability of the personality-outcome literature.,True,the replicability of behavioral science—the likelihood that independent researchers conducting similar studies will obtain similar results. [Comment: Replicability],Different data - same analysis,(1) Agreement in statistical significance [Comment: defined simply as the proportion of replication attempts that yielded statistically significant results in the hypothesized direction.](2) Agreement in effect size [Comment: we examined the frequency with which the replication attempts obtained a trait–outcome association weaker than the corresponding original effect or not in the expected direction.],False,NA,False,NA,False,NA,False,NA
Same data different conclusions: Radical dispersion in empirical results when independent analysts operationalize and test the same hypothesis,2021,10.1016/j.obhdp.2021.02.003,Joris Frese,Social Sciences and Humanities,Interdisciplinary,"Many Phenomena, Many studies","""test two hypotheses regarding the effects of scientists’ gender and professional status on verbosity during group meetings"" (Abstract)",True,"""independent analysts used the same dataset to test two hypotheses regarding the effects of scientists’ gender and professional status on verbosity during group meetings. Not only the analytic approach but also the operationalizations of key variables were left unconstrained and up to individual analysts."" (Abstract)",Same data - same analysis;Same data - different analysis,Agreement in statistical significance,True,"""Boba multiverse analysis: To complement the qualitative analyses based on DataExplained, we also examined underlying processes quantitatively, through a Boba multiverse analysis (Liu et al., 2020). This crossed all of the crowd of analysts’ choices with one another, removing analytic choices that did not make sense in conjunction with one another"" (p.241)",True,10.1109/TVCG.2020.3028985,True,"Too much to paste, but section 5.2 (starting on p.244) includes a detailed discussion of various limitations.",False,NA
