Title,Year,Doi,InvestigatorName,Field of research,Discipline,Type of project,Research question or aim,Did the authors define the type of reproducibility that is investigated?,Aspect of reproducibility investigated,"Even if defined by the authors, infer the aspect of reproducibility investigated",Did the authors measure reproducibility,Did they measure reproducibility using measures not in the previous list?,Paste description of each of the measures used,Number of measures,Did the paper refer to other papers for more information on the metric(s) used?,Paste the doi of all paper(s),Did the authors discuss limitations or assumptions of the metric(s) used?,Paste text on limitation/assumptions,"Did the authors discuss equity, diversity, and/or inclusion at any point?",Paste text on EDI dimension discussion
How Replicable Are Links Between Personality Traits and Consequential Life Outcomes? The Life Outcomes of Personality Replication Project,2019,10.1177/0956797619831612,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology; Behavioral Science,"Many Phenomena, One Study","""to estimate the replicability of the personality-outcome literature.""",TRUE,"""the replicability of behavioral science—the likelihood that independent researchers conducting similar studies will obtain similar results."" [Comment: Replicability]",Different data - same analysis,(1) Agreement in statistical significance [Comment: defined simply as the proportion of replication attempts that yielded statistically significant results in the hypothesized direction.] (2) Agreement in effect size [Comment: we examined the frequency with which the replication attempts obtained a trait–outcome association weaker than the corresponding original effect or not in the expected direction.],FALSE,NA,2,FALSE,NA,FALSE,NA,FALSE,NA
Same data different conclusions: Radical dispersion in empirical results when independent analysts operationalize and test the same hypothesis,2021,10.1016/j.obhdp.2021.02.003,Joris Frese; Rachel Heyard,"Social Sciences and Humanities; STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary,"One Phenomenon, Many Studies","""Our project examined whether independent analysts would arrive at similar analyses and statistical results using the same dataset to address these questions.""",FALSE,NA,Same data - different analysis,"(1) Agreement in statistical significance [Comment: summarizes the number of analysts who obtained statistically significant support for the hypothesis, directional but non-significant support, directional results contrary to the hypothesis, and statistically significant results contrary to the initial prediction.] (2) Agreement in effect size [Comment: by computing the z-score for each statistical result’s p-value]",TRUE,"""Boba multiverse analysis: To complement the qualitative analyses based on DataExplained, we also examined underlying processes quantitatively, through a Boba multiverse analysis (Liu et al., 2020). This crossed all of the crowd of analysts’ choices with one another, removing analytic choices that did not make sense in conjunction with one another"" (p.241)",3,TRUE,10.1109/TVCG.2020.3028985 [Comment: Boba multiverse analysis],FALSE,NA,FALSE,NA
Interaction effects in econometrics,2013,10.1007/s00181-012-0604-2,Helena Hartmann; Rachel Heyard,Social Sciences and Humanities,Econometrics,"Many Phenomena, Many studies","""provide practical advice for applied economists regarding robust specification and interpretation of linear regression models with interaction terms;replicate a number of prominently published results using interaction effects and examine if they are robust to reasonable speciﬁcation permutations""; ""We replicate a number of prominently published results using interaction effects and examine if they are robust to reasonable speciﬁcation permutations.""",FALSE,NA,Same data - different analysis,(1) Agreement in statistical significance [Comment: size and significance of the interactions],FALSE,NA,1,FALSE,NA,FALSE,NA,FALSE,NA
Multiple Perspectives on Inference for Two Simple Statistical Scenarios,2019,10.1080/00031305.2019.1565553,Joris Frese; Rachel Heyard,"Social Sciences and Humanities;Life Sciences; STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary; Statistics,"Many Phenomena, Many studies","""When data analysts operate within different statistical frameworks (e.g., frequentist versus Bayesian, emphasis on estimation versus emphasis on testing), how does this impact the qualitative conclusions that are drawn for real data?"" (Abstract); In addition to providing an empirical answer to the question “does it matter?”, we hope to highlight how the same dataset can give rise to rather different statistical treatments.",FALSE,NA,Same data - different analysis,"(1) Subjective assessment [Comment: All findings were deemed inconclusive; Comparison of the conclusions, qualitatively similar]",FALSE,NA,1,FALSE,NA,FALSE,NA,FALSE,NA
Systematic assessment of the replicability and generalizability of preclinical findings: Impact of protocol harmonization across laboratory sites,2022,10.1371/journal.pbio.3001886,Helena Hartmann; Rachel Heyard,Life Sciences,Preclinical animal research,"One Phenomenon, Many Studies",assess the influence of protocol standardization between laboratories on their replicability of preclinical results;aimed to elucidate parameters that impact the replicability of preclinical animal studies.; determine whether harmonization of study protocols across laboratories improves the replicability of the results and whether replicability can be further improved by systematic variation (heterogenization) of 2 environmental factors (time of testing and light intensity during testing) within laboratories,TRUE,"""Defining results replicability as the ability to duplicate results from a previous scientific claim supported by new data"" [Comment: Replicability]",Different data - different analysis,(1) Agreement in statistical significance (2) Agreement in effect size [Reduction in variability of results],FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,we could not confirm that diversifying the environmental conditions further reduces the variability across laboratories. The current selection of “heterogenizing” factors was rather limited by the feasibility to diversify them across all labs.; It also shows that it is possible to diversify the study sample by incorporating blocking factors like sex or introducing systematic heterogenization of conditions without the need to increase the overall sample size.
Many Analysts One Data Set: Making Transparent How Variations in Analytic Choices Affect Results,2018,10.1177/2515245917747646,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology; Statistics,"One Phenomenon, Many Studies","""In this article, we report an investigation that addressed the current lack of knowledge about how much diversity in analytic choice there can be when different researchers analyze the same data and whether such diversity results in different conclusions.""",FALSE,NA,Same data - different analysis,"(1) Agreement in statistical significance [Comment: Twenty teams (69%) found a significant positive relationship, p < .05, and nine teams (31%) found a nonsignificant relationship. No team reported a significant negative relationship.] (2) Agreement in effect size",FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"""An important question is whether the variability in the analytic choices made and results found by the teams resulted from teams with the greatest statistical expertise making different choices than the other teams. A related question is whether teams whose members had more quantitative expertise showed greater convergence in their estimated effect sizes. To answer these questions, we dichotomized the teams into two groups using latent class analysis. The first group (n = 9) was more likely to have a team member who had a Ph.D. (100% vs. 53%), was a professor at a university (100% vs. 37%), had taught a graduate statistics course more than twice (100% vs. 0%), and had at least one methodological or statistical publication (78% vs. 47%)."" (p.350) [Comment: Not really EDI, but discussed seniority and previous publication success of replicators.]; ""A demographic survey revealed that the team leaders worked in 13 different countries and came from a variety of disciplinary backgrounds, including psychology, statistics, research methods, economics, sociology, linguistics, and management. At the time that the first draft of this manuscript was written, 38 of the 61 data analysts (62%) held a Ph.D. (62%), and 17 (28%) had a master’s degree. The analysts came from various ranks and included 8 full professors (13%), 9 associate professors (15%), 13 assistant professors (21%), 8 postdocs (13%), and 17 doctoral students (28%). In addition, 27 participants (44%) had taught at least one undergraduate statistics course, 22 (36%) had taught at least one graduate statistics course, and 24 (39%) had published at least one methodological or statistical article.;a crowdsourced approach adds value in a number of ways. A globally distributed crowdsourced project will leverage skills, perspectives, and approaches to data analysis that no single analyst or research team can realistically muster alone."""
Comparison of two independent systematic reviews of trials of recombinant human bone morphogenetic protein-2 (rhBMP-2): the Yale Open Data Access Medtronic Project,2017,10.1186/s13643-017-0422-x,Louise Townsin; Rachel Heyard,Life Sciences,Health; Clinical trials; Evidence synthesis,"One Phenomenon, Many Studies","""We retrospectively compared the research methods and results of the final comprehensive publications of two meta-analyses performed in the context of full systematic reviews of recombinant human bone morphogenetic protein-2 (rhBMP-2) prepared by two independent centers, Center A [26, 27] from the University of York and Center B [28, 29] from Oregon Health & Science University, and focused on (1) meta-analysis trial inclusion criteria; (2) statistical methods; (3) summary risk estimates; and (4) conclusions.""; ""to determine if two independent centers, each of which were contracted to pursue identical research questions concurrently, with access to identical IPD, would employ identical methods in the areas of data use and statistical analysis and report identical, or at least consistent, results and conclusions.""",TRUE,"""The premise of replication efforts is that different groups, employing rigorous methods, may take different approaches and come to different conclusions on a previously addressed question""; ""Previous studies have sought to determine whether systematic reviews are replicable, with new teams performing new searches, summaries, and analyses of the literature for a particular question.""",Different data - same analysis,"(1) Agreement in statistical significance [Comment: Center A found a statistically significant increase in fusion rate at 24 months [...] Center B, reporting results for each surgical approach separately, did not find a significant increase in fusion at 24 months.] (2) Subjective assessment [Comment: In consideration of these factors, we provide a subjective comparison of the overall conclusions drawn by each center.]",TRUE,"Trial inclusion criteria were defined as study characteristics necessary for inclusion in meta-analysis. We explicitly compared, for primary and secondary endpoint meta-analyses, as well as safety analyses, the trials used by both centers for each analysis.; For methods, we compared centers’ reported outcomes at various time points as well as statistical methods.; We compared the centers’ risk estimates for all primary outcomes for efficacy as well as safety at all time points.",3,FALSE,NA,FALSE,NA,FALSE,NA
Replicability of simulation studies for the investigation of statistical methods: the RepliSims project,2024,10.1098/rsos.231003,Joris Frese; Rachel Heyard,"Social Sciences and Humanities; Life Sciences; STEM, e.g. Engineering, Mathematics, Physics",Interdisciplinary [Simulation study; Statistics; Empirical research],"Many Phenomena, One Study","""The current study aims at the following: — discussing the definitions of reproducibility and replicability in the context of simulation studies; — illustrating that replicability of simulation studies is not a given, using the replication of eight simulation studies as an example; — describing features that hinder and facilitate replicability of the original studies; and — providing preliminary recommendations for future simulation studies to facilitate replicability, in addition to available guidance for reporting of simulation studies."" (p.2)",TRUE,"Replication: writing new code to generate and analyse new data, following procedures in the original study as closely as possible [Comment: Replicability]",Different data - same analysis,"(1) Subjective assessment [Comment: assessed in a qualitative manner and involved evaluating: whether numerical values from the replication studies were comparable to those in the original studies, whether trends in the results were moving in the same direction, and whether the performance rankings of different simulation scenarios matched those in the original studies.]",FALSE,NA,1,FALSE,NA,FALSE,NA,FALSE,NA
Reproducibility via coordinated standardization: a multi-center study in a Shank2 genetic rat model for Autism Spectrum Disorders,2019,10.1038/s41598-019-47981-0,Helena Hartmann; Rachel Heyard,Life Sciences,Neuroscience; Preclinical studies; Biomedicine,"One Phenomenon, Many Studies",whether reproducibility increases through harmonization of apparatus test protocol and aligned and non-aligned environmental variables,FALSE,NA,Different data - same analysis,(1) Agreement in statistical significance,TRUE,"Three-way ANOVA [Comment: A three-way ANOVA with genotype (two levels) and site (three levels) as between-subject factors, and treatment as the repeated within-subject factor [four levels (vehicle, 3 doses)] was performed on absolute data values for each of the readouts. In the case of a main site and genotype effect in this absolute data set, normalized values (relative to vehicle treatment) were analyzed using the same three-way ANOVA design. This analysis aimed to address reproducibility across sites in terms of the phenotype evaluation as well as the pharmacological intervention.]",2,FALSE,NA,FALSE,NA,FALSE,NA
Quantitative Macroeconomics: Lessons Learned from Fourteen Replications,2023,10.1007/s10614-022-10234-w,Rachel Heyard; Samuel Pawel,Social Sciences and Humanities,Quantitative Macroeconomics; Economics,"Many Phenomena, One Study","""The focus of this paper is instead on the lessons to be learned from these replications and on providing some suggestions for best practice based on the experience of performing the replications.""; ""replicate all tables and figures from fourteen papers in Quantitative Macroeconomics""",FALSE,NA,Different data - same analysis,None of the above,TRUE,"Percentage difference between the replication and original results [Comment: It is based on all the entries of all the Tables from each paper: the absolute percentage difference between the replication value and the value in the original paper was calculated for every table entry, and the quartiles of these are reported.]",1,FALSE,NA,TRUE,The main weakness of this is that it obviously misses any Figures. [Comment: quartiles of the percentage difference],FALSE,NA
Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,2018,10.1038/s41562-018-0399-z,Helena Hartmann; Joris Frese,Social Sciences and Humanities,Interdisciplinary,"Many Phenomena, Many studies",Evaluating the replicability of social science experiments in Nature and Science between 2010 and 2015,TRUE,"find a significant effect in the same direction as the original study, Being able to replicate scientific findings",Different data - same analysis,(1) Agreement in effect size [Comment: direction of effect] (2) Agreement in statistical significance [Comment: p </> .05],FALSE,NA,2,FALSE,NA,FALSE,NA,TRUE,"Each investigation has a relatively small sample of studies with idiosyncratic inclusion criteria and unknown generalizability. However, the diversity in approaches provides some confidence that considering them in the aggregate may provide more general insight about reproducibility in the social behavioural sciences."
Reproducibility in Management Science,2024,10.31219/osf.io/mydzv,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Management sciences,"Many Phenomena, One Study",Assess the reproducibility of articles published in Management Science before and after the introduction of the 2019 policy,TRUE,"""The term “computational reproducibility” comes closest to the scope of our study, and is defined as the extent to which results in studies can be reproduced based on the same data and analysis as the original study.""",Same data - same analysis,"(1) Agreement in statistical significance (2) Agreement in effect size (3) Subjective assessment [Comment: After having reviewed a study’s replication package, reviewers are asked “What is your overall assessment of the reproducibility of this article's main results (tables, figures, other results in the main manuscript)?” with six response options.]",TRUE,More assessment on replication package quality,4,FALSE,NA,TRUE,the eventual categorization of the article remains subjective to the reviewer. [Comment: Subjective assessment],FALSE,NA
A Multilab Preregistered Replication of the Ego-Depletion Effect,2016,10.1177/1745691616652873,Joris Frese; Rachel Heyard,Social Sciences and Humanities,Psychology,"One Phenomenon, Many Studies","""We proposed a set of independent replications of the ego-depletion effect using the sequential-task paradigm""",FALSE,NA,Different data - same analysis,"(1) Agreement in effect size [Comment: Averaged sample-weighted effect sizes for the mean, only three labs found mean RT values with confidence intervals that did not include the value of zero, two of which were negative] (2) Meta-analysis of original and replication study/studies [Comment: Meta analysis of 23 replications. Effect size and confidence interval of meta analysis were reported and interpreted in comparison to the original effect size.]",TRUE,"Heterogeneity in the effect sizes with Cochranes Q and I2 statistics, with a statistically significant value for Q and an I2 value greater than 25% indicative of at least moderate levels of heterogeneity in the effect size across studies.",3,FALSE,NA,FALSE,NA,FALSE,NA
